SAT,GPA,Gender,Ethnicity,FirstGen,Admission
1380,3.8,0,5,0,1
1300,4.2,0,5,0,0
1360,3.9,1,5,0,1
1390,3.7,0,5,0,1
1370,4,0,5,0,0
1400,4.5,0,2,0,0
1440,4.5,0,2,0,1
1460,4,1,3,0,1
1430,4.5,1,5,0,1
1440,4.2,0,1,0,1
1460,4.5,1,5,0,1
1410,3.7,0,5,0,0
1430,4.5,1,1,0,1
1450,4.5,0,5,0,1
1410,4.4,0,5,0,0
1410,4,0,1,0,1
1400,4.5,0,2,0,0
1450,4,0,1,0,0
1410,4,0,2,0,1
1480,4.5,1,5,0,1
1470,5,0,3,1,1
1500,4,0,1,1,0
1480,4.5,1,3,1,1
1490,4.7,1,1,0,0
1490,4.5,1,5,0,0
1470,3.8,1,1,0,1
1490,4.5,0,3,1,0
1500,4.5,0,5,0,1
1500,4.5,0,3,0,1
1480,3.9,1,3,1,1
1490,4.5,0,3,1,1
1490,4.5,0,5,1,1
1460,4,1,3,0,1
1480,4,0,1,0,1
1480,4.5,1,1,0,1
1460,4.5,1,5,0,1
1470,4.3,0,3,1,1
1480,4.4,0,1,0,1
1500,3.4,0,5,0,0
1470,4.4,1,3,0,1
1470,4.5,0,2,0,1
1500,4.5,1,1,0,1
1470,4,1,1,0,1
1500,3.7,0,5,0,0
1480,4,1,2,0,0
1470,4.2,1,5,0,0
1470,4.2,0,3,0,1
1500,4,1,1,0,0
1480,4.3,1,2,0,0
1470,4.4,1,2,0,1
1480,4.3,1,5,0,1
1470,4.2,1,5,0,1
1470,4.5,1,2,0,0
1480,4.4,1,5,0,1
1500,4.2,0,3,0,1
1500,4.4,1,5,0,1
1510,4,1,5,0,1
1520,4.3,1,5,1,1
1500,4,0,1,1,0
1510,4.8,1,2,0,1
1510,4.4,0,3,0,1
1520,5,1,5,0,0
1510,4,0,1,0,0
1520,4.4,0,1,0,1
1520,4.3,1,5,0,1
1510,4,1,5,0,1
1500,4.5,0,5,0,1
1510,4.5,0,5,0,1
1500,4.5,0,3,0,1
1520,4.4,0,3,0,1
1520,4,1,3,0,0
1500,3.4,0,5,0,0
1510,4.4,1,3,0,0
1520,4.5,1,1,0,1
1510,4.4,1,5,0,1
1520,4,0,1,0,0
1510,4,0,5,0,1
1520,4.2,0,3,1,1
1520,3.9,1,3,0,0
1500,4.5,1,1,0,1
1520,4.5,0,1,0,1
1520,4,1,5,0,1
1500,3.7,0,5,0,0
1520,4,0,5,0,0
1500,4,1,1,0,0
1510,4,1,2,0,1
1520,4,0,5,0,0
1510,4.4,0,5,0,1
1510,4.4,0,5,0,0
1520,4,0,5,0,0
1510,3.8,0,1,1,1
1520,4,0,1,0,1
1500,4.2,0,3,0,1
1520,4,0,5,0,1
1510,4,1,3,0,1
1520,4.5,0,1,0,1
1520,3.9,1,5,0,0
1500,4.4,1,5,0,1
1520,4.3,1,5,1,1
1530,4.2,1,5,0,1
1530,4,1,5,1,1
1520,5,1,5,0,0
1530,4.2,0,1,0,1
1520,4.4,0,1,0,1
1530,4.4,0,5,0,0
1520,4.3,1,5,0,1
1530,4.4,0,3,0,1
1520,4.4,0,3,0,1
1520,4,1,3,0,0
1530,4.5,0,5,0,1
1520,4.5,1,1,0,1
1520,4,0,1,0,0
1520,4.2,0,3,1,1
1520,3.9,1,3,0,0
1520,4.5,0,1,0,1
1520,4,1,5,0,1
1520,4,0,5,0,0
1520,4,0,5,0,0
1530,4.3,1,2,0,0
1530,4.2,1,5,0,1
1530,4,1,1,0,0
1530,4,0,1,0,1
1520,4,0,5,0,0
1520,4,0,1,0,1
1520,4,0,5,0,1
1530,4.3,1,3,0,1
1520,4.5,0,1,0,1
1520,3.9,1,5,0,0
1530,4,0,3,0,0
